Date,Product_ID,Sales_Amount,Region,Sales_Rep
2024-03-29,126,4319,North,David
2023-12-15,298,874,South,Alice
2024-01-30,234,899,West,David
2023-09-04,127,3475,South,James
2023-06-29,132,1016,East,David
2024-07-14,232,2299,North,Maria
2023-06-21,217,1577,South,Sarah
2023-12-30,116,2300,West,John
2023-05-17,199,4344,West,John
2024-03-29,192,4751,North,Ravi
2023-05-22,124,4319,East,Maria
2024-10-31,104,4667,South,Maria
2023-06-29,244,1656,North,Anita
2023-10-26,101,1850,South,Ravi
2023-10-29,142,4309,West,Sarah
2023-05-29,260,3466,East,Anita
2023-05-10,139,4040,South,Alice
2023-01-31,261,1580,East,David
2024-01-06,190,1344,South,John
2023-06-14,174,1780,West,Anita
2023-10-05,295,647,East,Sarah
2024-04-16,201,4493,North,David
2023-06-08,142,1255,East,David
2023-02-16,200,594,North,James
2024-09-19,251,4160,North,Maria
2024-06-21,153,3632,North,Maria
2024-06-02,267,1246,East,Ravi
2023-11-14,187,758,West,Maria
2023-10-18,121,342,East,John
2024-09-06,236,735,West,Sarah
2023-08-29,273,2951,East,Sarah
2024-08-13,278,3220,South,James
2024-03-27,217,1535,North,Ravi
2023-09-26,208,2502,North,Ravi
2024-05-15,263,1809,South,Sarah
2024-10-04,228,4401,North,David
2024-12-12,258,4733,South,Sarah
2023-01-28,227,297,North,John
2023-07-16,104,2411,South,David
2024-12-19,115,4195,East,Sarah
2024-09-11,103,390,North,James
2024-08-14,243,1831,West,David
2024-07-14,184,889,East,Sarah
2023-12-15,299,1046,West,Ravi
2023-12-25,257,1344,East,David
2023-09-22,182,2999,North,Maria
2023-04-15,123,4935,South,John
2024-08-30,296,2922,West,Sarah
2024-05-18,157,4911,South,David
2024-04-26,128,243,South,Alice
2024-08-24,138,2014,East,David
2024-11-01,285,837,North,David
2024-11-22,105,700,North,Maria
2023-08-13,273,2797,South,John
2023-11-17,181,1214,South,David
2023-08-02,214,4652,North,Ravi
2023-10-03,148,2663,South,David
2024-09-12,213,634,East,David
2024-10-22,244,1452,East,Ravi
2023-07-20,197,4440,North,Ravi
2024-11-08,147,1868,South,Maria
2023-08-03,143,232,South,Maria
2023-10-01,194,4378,North,Sarah
2023-11-02,145,4939,East,Alice
2024-08-30,211,3335,West,John
2023-06-17,290,2814,East,Sarah
2023-01-27,200,3644,West,John
2024-05-12,253,2518,South,Sarah
2023-11-29,189,3906,West,Anita
2024-05-03,263,1803,West,John
2023-04-30,117,2268,East,John
2024-12-27,124,2291,North,Ravi
2024-02-02,209,1240,South,Maria
2023-03-10,196,2587,South,David
2023-03-10,173,1746,West,Sarah
2024-10-13,234,4183,West,Ravi
2023-05-09,248,3123,North,Alice
2023-05-30,150,330,North,Anita
2024-10-28,226,2960,East,Alice
2024-04-19,226,350,South,Alice
2024-04-29,289,3737,South,David
2024-07-18,170,3401,North,Sarah
2023-04-25,160,3919,West,John
2023-04-04,149,4032,East,Alice
2024-09-05,200,3655,South,James
2023-09-20,178,2158,East,Ravi
2024-05-13,131,4797,West,Maria
2023-08-30,106,862,East,Anita
2024-07-02,157,4347,West,Anita
2023-09-22,276,4298,East,John
2023-05-19,167,3460,East,James
2024-12-10,135,3275,South,John
2023-05-05,157,4587,South,David
2023-11-06,284,4998,South,Anita
2024-05-10,278,2155,South,Sarah
2024-11-16,146,1141,East,Sarah
2023-06-12,291,1879,South,Ravi
2023-01-08,181,695,North,David
2023-11-01,110,3328,South,James
2023-05-18,231,3403,South,James
2024-07-02,111,263,East,Alice
2023-04-15,280,3902,South,Alice
2023-07-25,249,1379,East,James
2024-03-23,228,4533,East,James
2024-12-04,300,2628,East,Anita
2023-09-18,199,2011,East,Ravi
2024-02-20,125,302,South,Sarah
2023-01-24,118,2521,South,James
2024-07-19,286,560,West,James
2024-04-22,296,3305,East,Alice
2023-10-23,103,1917,South,Alice
2024-05-08,126,950,North,Alice
2024-08-13,162,3853,East,Maria
2023-02-21,182,3579,West,Anita
2024-02-05,266,2983,West,Anita
2024-09-25,284,3330,East,Ravi
2023-06-05,118,2179,East,John
2023-07-12,265,3527,North,Anita
2024-11-25,192,3417,North,Sarah
2024-06-09,244,2743,East,James
2024-01-29,158,1622,South,Anita
2023-11-27,178,3850,South,Maria
2023-06-23,234,1148,South,James
2023-09-18,144,1382,West,James
2023-10-09,293,894,South,Maria
2024-12-01,165,2202,East,John
2023-10-18,232,3995,West,John
2023-05-27,207,4995,East,Ravi
2023-09-18,182,2716,South,Anita
2023-01-24,102,894,East,Anita
2023-11-21,128,3946,West,John
2023-02-25,300,4865,East,Ravi
2024-10-06,146,3327,South,James
2024-10-13,103,1854,North,Ravi
2024-06-29,223,626,South,Anita
2024-05-28,156,4923,South,Ravi
2023-03-26,170,4830,South,James
2023-02-02,115,4672,South,David
2023-05-25,252,3991,East,Ravi
2023-02-16,217,3770,South,David
2023-01-15,125,829,East,David
2024-08-20,236,3057,South,Anita
2024-05-09,239,911,South,James
2024-08-19,109,2346,West,John
2023-06-01,239,583,South,John
2023-11-09,297,1177,North,John
2023-07-30,110,2505,West,David
2024-12-26,181,3854,North,Ravi
2023-11-27,178,255,West,James
2024-02-23,198,3568,North,David
2023-03-18,191,1451,South,James
2024-06-04,245,3505,West,Ravi
2024-06-17,116,1117,East,James
2024-07-06,116,3015,North,Anita
2024-10-26,162,4329,South,Alice
2023-06-30,117,606,West,Alice
2023-03-30,292,360,West,Ravi
2024-03-16,223,4342,North,David
2024-04-19,202,4429,South,Ravi
2024-06-15,153,2608,West,Sarah
2023-07-16,245,1426,East,Sarah
2024-08-02,182,673,South,Sarah
2023-02-27,263,4994,North,Anita
2023-09-18,234,4504,East,James
2024-05-16,252,2216,South,Anita
2023-12-28,294,1113,South,David
2024-05-22,132,670,South,Sarah
2023-02-17,179,1815,South,Anita
2024-12-13,162,2205,West,Anita
2023-09-12,254,4670,East,David
2023-09-26,244,959,North,Maria
2024-02-03,243,1730,South,Maria
2024-04-21,245,627,West,Anita
2023-09-21,182,3918,South,James
2023-07-14,221,4383,North,Alice
2023-05-30,229,4485,East,Sarah
2024-01-20,203,3334,East,John
2023-05-17,291,2308,East,Alice
2024-05-10,230,1463,East,Ravi
2023-05-16,225,3579,West,Sarah
2023-01-05,251,3165,South,David
2024-12-13,153,3170,North,John
2023-08-25,111,2847,East,James
2023-04-25,210,492,East,Maria
2023-11-25,218,1464,South,Sarah
2023-09-11,115,2334,West,Anita
2024-08-29,255,1576,South,Maria
2024-05-30,110,1399,North,James
2024-06-26,237,2136,East,James
2023-05-11,145,2299,West,David
2023-08-04,144,727,North,Ravi
2024-06-17,108,2862,South,Ravi
2024-07-07,247,2403,North,Alice
2024-08-20,253,278,South,Maria
2023-10-02,246,4384,North,Ravi
2024-08-10,201,4607,North,Alice
2024-08-20,149,1578,West,Sarah
2023-04-22,120,2719,West,Ravi
2023-03-30,173,3241,North,Alice
2023-02-01,187,3702,East,David
2023-02-24,167,4006,West,Alice
2024-02-22,266,2717,West,Anita
2024-09-20,278,2738,North,Ravi
2024-08-29,234,760,West,Alice
2023-05-14,277,414,North,John
2024-07-10,278,2437,South,Maria
2024-07-16,214,2265,East,James
2023-05-19,269,3519,West,Anita
2024-06-01,108,2714,North,Sarah
2024-07-12,278,260,West,Sarah
2024-07-22,290,2627,South,James
2023-06-06,193,1668,South,Alice
2024-01-05,273,1423,North,Maria
2024-08-25,184,4217,West,Ravi
2023-12-12,180,4227,North,John
2024-08-28,267,4366,South,David
2023-01-22,241,4100,South,Alice
2024-05-20,114,754,East,John
2023-04-19,286,3674,South,David
2024-06-25,104,1884,South,Alice
2023-06-29,129,1631,South,Ravi
2023-07-28,276,1436,North,Alice
2023-06-20,188,564,West,Anita
2023-03-19,158,4673,South,Ravi
2023-02-27,198,4265,West,Maria
2023-10-18,238,4073,East,Alice
2024-10-27,143,1643,North,Ravi
2023-05-13,147,4808,North,Alice
2023-12-31,236,487,North,Maria
2023-01-12,150,4375,North,Sarah
2023-06-29,154,2032,South,John
2024-11-14,178,1721,North,Sarah
2023-01-23,154,4774,East,James
2023-10-12,125,4210,North,John
2023-04-20,275,4209,East,John
2023-04-11,106,757,East,David
2023-11-26,205,3716,West,Anita
2023-01-06,162,3901,West,David
2024-02-24,170,4948,North,Alice
2024-10-08,119,414,West,James
2024-05-03,138,348,South,Anita
2024-07-02,140,1489,East,Maria
2024-12-16,118,242,South,Alice
2023-04-02,192,3469,West,John
2024-08-20,107,4532,South,James
2024-05-03,228,3999,East,Sarah
2023-04-08,204,3686,South,Anita
2023-03-21,223,3648,South,John
2024-06-25,207,908,East,Ravi
2024-08-01,171,3818,West,Anita
2024-07-04,215,3371,North,Ravi
2024-10-23,161,272,North,Anita
2024-10-15,106,4522,South,Anita
2024-01-30,265,1275,North,Sarah
2023-07-27,285,1078,East,Ravi
2023-10-01,139,2732,East,Anita
2024-03-07,215,629,North,Alice
2024-05-19,277,1128,West,Anita
2024-05-26,248,896,West,Anita
2024-06-09,206,2806,West,Sarah
2023-04-20,250,1841,West,John
2024-06-15,278,4755,East,Sarah
2023-07-23,259,4834,North,Sarah
2024-10-29,181,3972,West,Alice
2023-03-29,278,2072,North,Ravi
2023-11-24,190,2035,South,Sarah
2024-04-13,235,2017,West,Alice
2023-06-03,225,3533,North,Maria
2024-07-30,289,4224,West,Alice
2024-11-26,121,4145,South,Anita
2024-03-08,264,2666,East,Anita
2024-04-14,250,4265,South,Alice
2024-09-16,253,2344,North,James
2023-12-07,119,4892,South,Maria
2024-09-10,139,4467,South,James
2023-07-13,129,893,North,Ravi
2024-11-09,299,4138,North,David
2024-06-24,173,1055,South,Ravi
2024-01-25,227,472,North,Sarah
2023-12-19,120,3370,West,James
2024-02-29,141,958,West,Anita
2024-07-31,280,3547,South,James
2024-04-16,258,3903,North,Maria
2024-09-11,284,3372,East,David
2023-11-29,285,4200,West,Anita
2024-09-03,252,1649,North,John
2023-11-27,107,2799,East,James
2024-04-12,156,1507,East,James
2023-10-30,209,4386,North,Sarah
2024-07-14,243,3002,North,Maria
2023-01-14,298,3631,North,Sarah
2024-02-12,262,2344,East,James
2023-11-02,139,3455,South,James
2023-06-18,127,991,West,Maria
2023-04-05,215,2958,East,Ravi
2024-08-26,115,3913,North,Maria
2023-04-13,137,828,West,Alice
2023-12-05,183,4026,West,Anita
2023-07-02,230,2939,West,James
2024-12-01,184,1804,East,David
2023-11-20,157,2801,East,Sarah
2023-10-12,282,4292,North,Ravi
2024-02-09,195,519,North,James
2023-06-14,266,2423,North,James
2024-03-25,219,3689,North,James
2024-04-16,172,3946,East,Maria
2024-01-13,275,4339,South,Alice
2024-05-31,162,2596,South,Sarah
2023-06-24,245,401,South,Alice
2024-06-11,261,1307,East,David
2023-07-06,171,377,South,Alice
2024-05-01,121,334,South,Maria
2023-03-11,199,2257,West,John
2024-04-29,194,3080,West,Ravi
2023-12-31,104,3393,South,Alice
2024-01-09,204,3021,South,John
2023-07-22,226,3618,North,David
2024-09-19,259,874,West,Ravi
2023-03-08,101,890,East,Alice
2023-04-02,198,4253,East,Sarah
2023-12-25,167,2554,West,Alice
2024-12-18,290,4256,East,Alice
2024-08-26,118,2349,East,Anita
2024-04-05,168,3708,North,Ravi
2023-03-03,149,1982,West,Ravi
2024-04-14,182,2253,West,Sarah
2023-11-27,276,2670,East,John
2023-07-09,251,3365,West,James
2023-09-15,262,705,North,Maria
2024-12-07,140,4592,South,Anita
2023-04-11,103,1747,East,Sarah
2024-08-05,258,476,East,Sarah
2023-10-20,121,4823,West,Sarah
2024-02-05,191,1379,North,John
2024-05-01,140,392,East,David
2024-03-10,138,560,West,Ravi
2024-08-09,196,3445,West,Maria
2024-07-04,256,2378,East,Anita
2024-10-07,300,3480,East,Anita
2023-03-26,201,4740,East,David
2024-06-09,300,4429,South,Maria
2023-01-21,232,1449,East,Ravi
2023-12-27,235,890,West,David
2023-11-15,231,4345,South,Anita
2024-02-06,179,408,South,Alice
2024-03-08,236,3186,North,James
2023-04-06,170,4320,South,Maria
2023-02-09,182,1964,South,Anita
2024-11-16,154,2007,West,Ravi
2023-10-20,245,3009,East,Sarah
2023-12-14,135,834,East,Maria
2023-04-12,276,1967,North,Alice
2023-08-12,167,2942,North,Sarah
2024-09-22,277,4999,West,Sarah
2024-07-15,245,1125,South,John
2024-11-15,294,3154,East,James
2024-10-17,219,904,West,John
2023-12-23,264,4603,East,John
2023-04-08,185,2625,West,Maria
2023-02-09,289,1995,North,Ravi
2023-02-16,174,274,East,Anita
2024-02-03,241,4799,West,Anita
2023-04-30,161,4057,North,Alice
2023-09-26,150,3968,North,Maria
2024-01-16,228,2605,South,John
2024-04-15,288,4499,West,Anita
2023-05-16,194,670,South,Maria
2023-05-29,103,1867,East,Anita
2023-07-14,279,782,South,David
2024-06-14,299,1325,West,Alice
2023-07-05,154,3349,West,James
2024-06-01,217,3753,East,Ravi
2024-09-13,162,432,East,Alice
2024-04-28,259,710,West,Ravi
2023-06-22,251,4884,South,David
2023-06-27,169,1332,North,David
2023-08-11,286,270,East,Ravi
2024-08-15,286,3408,West,James
2024-11-18,193,3981,East,Maria
2023-07-17,203,2050,South,Anita
2023-07-23,252,1979,North,John
2024-01-27,182,1529,South,Anita
2024-05-22,216,4120,North,Sarah
2023-07-05,294,929,East,John
2024-05-23,148,3837,West,Anita
2024-11-08,248,334,North,John
2024-06-13,158,3606,South,Sarah
2024-12-22,152,2042,South,Sarah
2024-07-28,256,1527,West,Anita
2023-08-13,264,4351,East,Ravi
2024-02-15,112,1749,West,Anita
2024-04-30,175,2024,South,John
2023-07-13,164,2639,East,John
2023-12-26,213,2898,East,Alice
2023-12-26,233,858,South,Anita
2024-10-04,239,4120,North,Sarah
2024-05-23,178,1241,North,Ravi
2024-08-16,144,3773,West,David
2024-04-27,267,2475,West,John
2023-07-19,291,1750,North,Sarah
2023-06-30,185,267,West,John
2024-06-22,192,916,East,Ravi
2023-09-27,215,430,East,Sarah
2024-05-03,239,1970,South,James
2024-03-13,115,2758,West,Anita
2024-08-02,166,2606,West,Sarah
2024-08-09,120,3400,East,Alice
2024-04-25,101,3673,North,James
2023-04-14,194,3291,South,Anita
2024-08-04,271,2698,East,Maria
2024-01-20,105,3987,East,John
2023-02-14,206,2622,South,Sarah
2023-09-30,260,1300,North,Alice
2023-12-25,203,3180,South,David
2023-05-28,287,4414,East,Maria
2023-06-10,200,1751,West,Alice
2024-09-28,213,1297,East,Anita
2023-05-29,224,881,East,Ravi
2024-05-21,172,4609,East,David
2024-12-17,251,1872,West,Alice
2023-12-03,270,3281,East,Maria
2024-04-18,137,596,South,John
2023-10-17,230,4269,South,Maria
2024-02-04,117,1029,East,James
2024-10-18,165,4677,East,John
2023-11-26,198,436,North,David
2024-05-29,132,1199,North,David
2024-08-04,219,255,South,Sarah
2024-11-23,295,3091,North,David
2024-12-11,175,1554,South,David
2024-10-09,108,3126,West,James
2024-07-20,198,3629,West,Ravi
2023-03-28,257,620,West,John
2024-08-01,193,748,East,Maria
2024-07-30,130,781,West,Anita
2023-03-30,212,3635,North,Maria
2024-08-25,191,2262,North,Anita
2024-06-23,253,2454,South,Anita
2023-02-09,181,569,West,James
2023-09-14,243,945,East,James
2024-02-02,300,4238,East,Ravi
2024-01-12,185,3779,West,Sarah
2024-05-14,215,2682,South,John
2024-10-01,140,1469,North,James
2024-08-07,202,2417,East,Anita
2024-01-04,282,4871,North,Maria
2024-03-05,153,2936,North,Anita
2024-11-24,163,3447,West,Sarah
2023-06-27,299,1279,East,Alice
2024-07-01,286,1043,North,Ravi
2023-12-02,154,3346,North,Alice
2023-07-07,249,2795,North,Alice
2023-08-05,231,1443,North,David
2024-06-18,145,2765,West,Alice
2024-12-22,125,400,East,Sarah
2024-05-21,253,3748,North,Maria
2023-12-29,255,833,South,Sarah
2024-07-14,232,4837,East,Anita
2023-05-21,130,2078,East,John
2023-03-27,163,1058,North,Anita
2023-09-20,229,1877,South,James
2024-03-23,270,2820,South,John
2024-02-24,190,832,West,Ravi
2023-07-28,181,2088,South,David
2023-06-07,162,1893,East,Anita
2024-12-05,103,4576,West,Alice
2024-08-11,261,2143,North,Anita
2024-07-13,144,3057,West,Ravi
2024-12-09,198,511,North,Maria
2023-07-17,236,1627,North,Sarah
2023-01-13,155,4821,West,Alice
2024-11-16,266,3293,West,James
2023-04-26,242,2345,West,David
2023-05-19,160,3608,East,James
2023-10-27,121,3977,East,Alice
2023-03-14,220,3649,North,Maria
2024-05-05,183,3281,East,David
2024-09-06,229,4427,South,David
2023-07-02,181,2286,South,Sarah
2024-01-11,253,2075,East,Ravi
2024-12-06,216,3635,North,Anita
2023-04-09,187,637,North,Maria
2024-12-01,153,4398,North,David
2023-04-16,151,1961,West,Ravi
2024-12-07,151,2029,North,David
2023-12-23,135,492,South,Maria
2023-04-01,153,1683,West,Sarah
2023-09-18,191,3377,South,Anita
2023-01-13,119,1060,East,James
2024-04-12,113,1256,South,Sarah
2023-12-07,170,1877,North,John
2024-12-11,161,3042,South,Ravi
2023-03-02,230,4354,West,Alice
2023-10-02,143,4983,South,Anita
2023-08-08,300,3897,North,Anita
2023-08-01,257,654,West,Anita
2024-11-28,200,1045,South,James
2024-10-05,216,4053,East,Sarah
2023-04-06,203,1500,East,Maria
2024-05-08,256,3610,South,Sarah
2023-09-23,139,685,West,Anita
2024-07-18,210,2314,South,Ravi
2024-07-06,163,2367,West,Alice
2024-04-16,240,4864,East,Anita
2024-06-20,229,3158,West,Ravi
2024-05-22,261,596,North,David
2024-12-16,178,4528,East,James
2024-08-15,223,4931,South,John
2024-08-25,292,751,East,Maria
2023-11-18,165,1964,South,Anita
2024-09-06,288,2753,North,James
2024-12-02,258,848,South,James
2024-09-08,128,4587,North,Maria
2024-03-16,283,3313,North,John
2023-03-27,127,1178,South,James
2023-04-09,104,2696,South,David
2023-06-24,205,3002,East,James
2024-11-17,276,4719,North,James
2023-01-27,272,2456,South,John
2023-11-20,174,3094,West,Anita
2024-12-29,189,3910,North,Ravi
2024-10-04,273,3878,East,James
2024-07-29,144,4438,North,David
2024-03-30,170,4724,South,Ravi
2024-02-23,212,1243,North,Sarah
2023-07-28,171,405,East,David
2023-12-21,262,2812,West,Sarah
2024-04-21,121,4282,East,Ravi
2023-09-30,117,829,North,Maria
2024-04-28,155,289,East,James
2024-01-04,111,920,West,John
2024-07-17,279,3473,South,Alice
2024-04-30,149,3351,West,John
2024-04-15,232,2223,South,Alice
2024-07-07,214,3714,South,Alice
2023-08-05,199,4684,East,Anita
2023-08-06,237,3685,East,John
2023-08-31,242,4948,North,John
2024-12-10,114,932,North,John
2024-11-21,231,4979,West,Maria
2023-09-05,223,3612,West,Alice
2023-01-29,110,1740,East,Alice
2023-09-15,102,3751,West,Alice
2024-08-03,214,4264,East,Anita
2023-01-11,205,231,South,John
2024-09-29,225,1366,South,Alice
2024-03-23,125,4315,West,Maria
2023-07-20,126,3756,South,John
2023-04-10,136,4214,North,Ravi
2024-03-26,210,3975,West,James
2023-09-19,202,1006,West,Ravi
2024-06-23,178,2399,West,Sarah
2024-12-26,245,3956,West,Maria
2024-05-18,293,2116,North,Alice
2023-08-20,119,3316,East,David
2024-09-06,119,1213,West,John
2024-05-19,186,4462,North,John
2024-11-12,159,3067,North,Sarah
2024-01-16,220,586,North,Maria
2024-09-28,115,1905,East,James
2024-12-15,128,4376,East,David
2023-08-13,152,1642,East,John
2023-03-22,149,2129,West,Sarah
2024-07-10,164,1269,North,Maria
2023-05-11,283,2730,North,Alice
2023-04-30,180,4766,North,Ravi
2023-10-24,159,219,West,Anita
2024-05-10,172,4206,East,Maria
2024-03-15,209,473,North,David
2023-09-13,215,2885,West,Alice
2023-11-08,125,4738,East,David
2024-06-27,128,766,East,Maria
2023-08-16,242,4141,West,John
2024-03-16,209,1895,North,Ravi
2023-06-29,105,2708,East,John
2023-04-11,186,1567,East,Anita
2023-02-03,296,323,North,Sarah
2023-03-17,262,550,East,James
2024-08-18,198,3022,East,Alice
2023-01-21,273,4735,East,Sarah
2024-09-15,292,4896,South,Maria
2023-11-23,203,4340,West,Ravi
2024-11-20,295,3692,South,Maria
2024-04-05,136,4864,South,John
2023-03-15,150,4031,North,Ravi
2024-07-11,238,261,South,Maria
2024-10-02,147,668,North,Ravi
2023-06-05,178,3976,East,Sarah
2023-03-29,110,4998,South,James
2024-03-22,283,1028,West,Ravi
2024-11-01,236,1463,West,Maria
2023-08-10,238,2592,South,Maria
2023-08-24,239,1849,South,Maria
2023-08-11,281,3498,West,James
2024-08-13,137,1007,South,Sarah
2023-10-25,213,4916,South,Alice
2023-01-17,229,1403,West,John
2023-06-27,213,4534,West,Anita
2024-11-20,168,4950,North,Alice
2024-03-08,236,3121,West,Anita
2023-07-03,279,2656,East,Ravi
2024-02-27,149,3803,West,Alice
2023-12-16,155,3445,South,James
2023-02-20,257,1860,North,David
2023-10-05,241,3786,South,Ravi
2024-07-14,188,3691,West,Maria
2023-12-14,197,1098,South,James
2023-01-17,296,1656,South,Ravi
2023-06-20,130,2468,West,Ravi
2023-11-19,274,1648,East,John
2023-11-03,145,1958,West,Sarah
2024-04-27,241,2969,North,David
2023-05-22,263,987,West,Alice
2024-06-03,184,548,East,John
2023-12-29,205,671,North,Sarah
2023-10-18,170,2811,East,Anita
2023-07-05,150,1312,South,John
2024-10-18,300,3679,South,Maria
2024-11-26,109,3930,South,Alice
2024-04-07,101,4367,West,Sarah
2024-07-30,128,436,West,Sarah
2024-10-09,270,345,East,Anita
2023-07-11,152,1023,North,John
2024-06-11,261,2855,North,James
2024-05-09,269,695,North,Alice
2023-04-02,106,4832,West,James
2024-01-20,246,889,South,Maria
2023-09-15,211,1104,South,Alice
2024-02-09,114,560,East,David
2023-09-02,252,4153,West,James
2024-09-27,169,1421,North,Sarah
2023-05-15,123,926,North,Alice
2023-06-04,139,813,West,Alice
2024-08-23,193,1956,South,Alice
2024-08-23,213,4291,West,James
2024-11-25,293,1987,East,Ravi
2024-09-23,156,1358,South,Alice
2023-08-25,167,1278,North,David
2023-06-27,213,3230,North,Sarah
2024-03-27,210,470,West,Anita
2023-11-20,265,2692,North,Sarah
2024-08-30,169,3196,East,Maria
2024-11-01,249,2202,North,Ravi
2023-10-08,210,1861,East,David
2023-06-17,171,575,South,Maria
2023-05-06,196,4409,North,James
2023-02-08,275,1814,East,Alice
